DOI	instance_id	News Finding	Paper Finding	News Context	Paper Context	scores	field	split	final_score	source	News URL	text
10.1016/j.cell.2016.02.014	Biology_540	"""We thought that, under the same conditions if the cells are identical, that both would differentiate the same way, but that is not what we found,"" Jang said."	Nrf2 inhibition during differentiation further increased the percentages of G1 cells and ciliated cells ( Figures S7B and S7C) , confirming that these changes are features of early NE derivation.	"This is significant, Kosik noted, because Nrf2 doesn't usually diminish until the cell has already started to differentiate. ""We thought that, under the same conditions if the cells are identical, that both would differentiate the same way, but that is not what we found,"" Jang said. ""Cell fate is controlled by G 1 lengthening, which extends cilia's exposure to signals from their environment."	Furthermore, the G1 lengthening during NE differentiation mirrored changes in the ciliation pattern with a significant shift that occurred between day 0 and day 2 ( Figure 5B ). Nrf2 inhibition during differentiation further increased the percentages of G1 cells and ciliated cells ( Figures S7B and S7C) , confirming that these changes are features of early NE derivation. Consistent with the data from propidium iodide staining, an increased number of red fluorescent cells was observed even at day 1 of NE differentiation, while no significant change was detected during ME differentiation ( Figures 5C and S7D ).	[2.0, 4.0, 3.0, 3.0]	Biology	train	3.0	news	http://feedproxy.google.com/~r/TechnologyOrg/~3/fJ8yn-nb8pQ/	"['<b>Paper Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Furthermore, the G1 lengthening during NE differentiation mirrored changes in the ciliation pattern with a significant shift that occurred between day 0 and day 2 ( Figure 5B ). Nrf2 inhibition during differentiation further increased the percentages of G1 cells and ciliated cells ( Figures S7B and S7C) , confirming that these changes are features of early NE derivation. Consistent with the data from propidium iodide staining, an increased number of red fluorescent cells was observed even at day 1 of NE differentiation, while no significant change was detected during ME differentiation ( Figures 5C and S7D )."">Nrf2 inhibition during differentiation further increased the percentages of G1 cells and ciliated cells ( Figures S7B and S7C) , confirming that these changes are features of early NE derivation.</span>', '<b>News Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""News context: This is significant, Kosik noted, because Nrf2 doesn\'t usually diminish until the cell has already started to differentiate. ""We thought that, under the same conditions if the cells are identical, that both would differentiate the same way, but that is not what we found,"" Jang said. ""Cell fate is controlled by G 1 lengthening, which extends cilia\'s exposure to signals from their environment."">""We thought that, under the same conditions if the cells are identical, that both would differentiate the same way, but that is not what we found,"" Jang said.</span>']"
10.1186/1742-2094-10-46	Medicine_tweet_208	"#journalofneuroinflammation
Focal brain inflammation and #autism "	We showed that mtDNA is significantly increased in the serum of young autistic children , who also had significantly increased serum level of NT ; this triggers mast cells to secrete mtDNA that acts as innate pathogen to stimulate mast cells and other immune cells, leading to auto-inflammation .	"#journalofneuroinflammation
Focal brain inflammation and #autism "	There is also support for increased oxidative stress and some mitochondrial (mt) defects at least in subgroups of patients with ASD . We showed that mtDNA is significantly increased in the serum of young autistic children , who also had significantly increased serum level of NT ; this triggers mast cells to secrete mtDNA that acts as innate pathogen to stimulate mast cells and other immune cells, leading to auto-inflammation . We believe that ASD originate from immune perinatal insults that activate ASD susceptibility genes leading to focal encephalitis ( Table 2) .	[1.0, 5.0, 4.0, 3.0]	Medicine	train	3.0	tweets	322275784821702657	"['<b>Paper Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: There is also support for increased oxidative stress and some mitochondrial (mt) defects at least in subgroups of patients with ASD . We showed that mtDNA is significantly increased in the serum of young autistic children , who also had significantly increased serum level of NT ; this triggers mast cells to secrete mtDNA that acts as innate pathogen to stimulate mast cells and other immune cells, leading to auto-inflammation . We believe that ASD originate from immune perinatal insults that activate ASD susceptibility genes leading to focal encephalitis ( Table 2) ."">We showed that mtDNA is significantly increased in the serum of young autistic children , who also had significantly increased serum level of NT ; this triggers mast cells to secrete mtDNA that acts as innate pathogen to stimulate mast cells and other immune cells, leading to auto-inflammation .</span>', '<b>News Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""News context: #journalofneuroinflammation\nFocal brain inflammation and #autism "">#journalofneuroinflammation\nFocal brain inflammation and #autism </span>']"
10.1080/08870446.2014.918267	Medicine_414	Interestingly, in the second experiment, overweight viewers of food ads reported a stronger desire to eat than those in the control group.	The overweight and obese sample here reported a stronger desire to eat following priming with a series of television advertisements for food products than when primed with advertisements for non-food products.	Researchers found that in both experiments, those shown food ads produced more food related words, suggesting that the advertising does activate increased food-related cognitions. Interestingly, in the second experiment, overweight viewers of food ads reported a stronger desire to eat than those in the control group. Experiment 1 participants reported a lower desire to eat across the board.	In contrast to Experiment 1, exposure to television food advertising also affected ratings of desire to eat. The overweight and obese sample here reported a stronger desire to eat following priming with a series of television advertisements for food products than when primed with advertisements for non-food products. This suggests that in overweight and obese individuals, exposure to food commercials not only activates food-related cognitions, but also triggers a motivation to eat.	[4.0, 2.0, 3.0, 4.0]	Medicine	train	3.25	news	http://www.hngn.com/articles/40594/20140828/food-advertisements-make-eat-more-study-confirms.htm	"['<b>Paper Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: In contrast to Experiment 1, exposure to television food advertising also affected ratings of desire to eat. The overweight and obese sample here reported a stronger desire to eat following priming with a series of television advertisements for food products than when primed with advertisements for non-food products. This suggests that in overweight and obese individuals, exposure to food commercials not only activates food-related cognitions, but also triggers a motivation to eat."">The overweight and obese sample here reported a stronger desire to eat following priming with a series of television advertisements for food products than when primed with advertisements for non-food products.</span>', '<b>News Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""News context: Researchers found that in both experiments, those shown food ads produced more food related words, suggesting that the advertising does activate increased food-related cognitions. Interestingly, in the second experiment, overweight viewers of food ads reported a stronger desire to eat than those in the control group. Experiment 1 participants reported a lower desire to eat across the board."">Interestingly, in the second experiment, overweight viewers of food ads reported a stronger desire to eat than those in the control group.</span>']"
10.1177/1080569913501862	Computer_Science_158	Despite the casual reputation, professionals from the West Coast were less accepting of mobile phone use in meetings than people from the East Coast.	Also, higher-income professionals showed lower acceptance for mobile phone use during meetings.	Similarly, 50 percent of men said it was acceptable to answer a call at a power lunch, compared to 26 percent of women. Despite the casual reputation, professionals from the West Coast were less accepting of mobile phone use in meetings than people from the East Coast. Higher-income professionals had less tolerance for smartphone use in business meetings.	Not surprisingly, younger professionals were more likely to consider various mobile phone behaviors as appropriate during meetings. Also, higher-income professionals showed lower acceptance for mobile phone use during meetings. Finally, professionals in the Western region of the United States were less accepting of mobile phone use during meetings.	[2.0, 4.0, 2.0]	Computer_Science	train	2.6666666666666665	news	http://www.sciencedaily.com/releases/2013/10/131024182551.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28ScienceDaily%3A+Latest+Science+News%29	"['<b>Paper Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Not surprisingly, younger professionals were more likely to consider various mobile phone behaviors as appropriate during meetings. Also, higher-income professionals showed lower acceptance for mobile phone use during meetings. Finally, professionals in the Western region of the United States were less accepting of mobile phone use during meetings."">Also, higher-income professionals showed lower acceptance for mobile phone use during meetings.</span>', '<b>News Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""News context: Similarly, 50 percent of men said it was acceptable to answer a call at a power lunch, compared to 26 percent of women. Despite the casual reputation, professionals from the West Coast were less accepting of mobile phone use in meetings than people from the East Coast. Higher-income professionals had less tolerance for smartphone use in business meetings."">Despite the casual reputation, professionals from the West Coast were less accepting of mobile phone use in meetings than people from the East Coast.</span>']"
10.1016/j.cell.2018.04.038	Biology_tweet_81	Wow ! Another beautiful structure of telomerase. Recently there was a structure of human telomerase  	All telomerases contain a catalytic core of TERT and TER, which are sufficient to reconstitute activity in vitro.	Wow ! Another beautiful structure of telomerase. Recently there was a structure of human telomerase  	The cryo-EM structure of active Tetrahymena telomerase bound to telomeric DNA reveals unique insights into the catalytic core and DNA handling. All telomerases contain a catalytic core of TERT and TER, which are sufficient to reconstitute activity in vitro. The other seven proteins, p50, and two heterotrimeric replication protein A (RPA) related complexes, Teb1-Teb2/Rpa2-Teb3/Rpa3 (TEB) ) and p75-p45-p19 (Tetrahymena CTC1-STN1-TEN1 [CST]) , are paralogous to human proteins that only transiently associate with telomerase .	[5.0, 3.0, 4.0, 2.0, 2.0]	Biology	train	3.2	tweets	997209602478563329	"['<b>Paper Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: The cryo-EM structure of active Tetrahymena telomerase bound to telomeric DNA reveals unique insights into the catalytic core and DNA handling. All telomerases contain a catalytic core of TERT and TER, which are sufficient to reconstitute activity in vitro. The other seven proteins, p50, and two heterotrimeric replication protein A (RPA) related complexes, Teb1-Teb2/Rpa2-Teb3/Rpa3 (TEB) ) and p75-p45-p19 (Tetrahymena CTC1-STN1-TEN1 [CST]) , are paralogous to human proteins that only transiently associate with telomerase ."">All telomerases contain a catalytic core of TERT and TER, which are sufficient to reconstitute activity in vitro.</span>', '<b>News Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""News context: Wow ! Another beautiful structure of telomerase. Recently there was a structure of human telomerase  "">Wow ! Another beautiful structure of telomerase. Recently there was a structure of human telomerase  </span>']"
10.1111/lcrp.12013	Psychology_382	The team found that when the participants closed their eyes, they were able to remember 23 percent more information than the people in the other groups.	These findings provide support for the idea that visualization plays an important role in the eye-closure effect (see also .	"Close

If you're cramming for a test or have an important date to remember, you might find this simple tip useful: close your eyes. The team found that when the participants closed their eyes, they were able to remember 23 percent more information than the people in the other groups. Having a good relationship with the interviewer also helped people answer more questions about the crime correctly, but if the person closed his or her eyes, the recall was effective regardless of the rapport the person felt with the interviewer."	In contrast, eyeclosure had no significant effect on retrieval of auditory details. These findings provide support for the idea that visualization plays an important role in the eye-closure effect (see also . For participants who had not closed their eyes during the first session, eye-closure during the second free recall also significantly increased the report of incorrect visual information, which could have problematic consequences in legal settings.	[5.0, 5.0, 2.0, 3.0]	Psychology	train	3.0	news	http://www.techtimes.com/articles/27033/20150118/close-your-eyes-for-better-memory-recall.htm	"['<b>Paper Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: In contrast, eyeclosure had no significant effect on retrieval of auditory details. These findings provide support for the idea that visualization plays an important role in the eye-closure effect (see also . For participants who had not closed their eyes during the first session, eye-closure during the second free recall also significantly increased the report of incorrect visual information, which could have problematic consequences in legal settings."">These findings provide support for the idea that visualization plays an important role in the eye-closure effect (see also .</span>', '<b>News Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""News context: Close\n\nIf you\'re cramming for a test or have an important date to remember, you might find this simple tip useful: close your eyes. The team found that when the participants closed their eyes, they were able to remember 23 percent more information than the people in the other groups. Having a good relationship with the interviewer also helped people answer more questions about the crime correctly, but if the person closed his or her eyes, the recall was effective regardless of the rapport the person felt with the interviewer."">The team found that when the participants closed their eyes, they were able to remember 23 percent more information than the people in the other groups.</span>']"
10.1001/jamapsychiatry.2014.1208	Psychology_tweet_61	#PTSD Symptoms &amp; Food #Addiction in Women by Timing and Type of Trauma Exposure  #recoverywarriors #eatingdisorders	Food addiction prevalence appeared to be further elevated when PTSD symptoms occurred earlier in life.	#PTSD Symptoms &amp; Food #Addiction in Women by Timing and Type of Trauma Exposure  #recoverywarriors #eatingdisorders	In this analysis, we found a dose-response association between the number of lifetime PTSD symptoms and prevalence of food addiction in middle adulthood. Food addiction prevalence appeared to be further elevated when PTSD symptoms occurred earlier in life. To our knowledge, this is the first study to look at the association between PTSD symptoms and food addiction.	[4.0, 2.0, 1.0, 4.0, 3.0]	Psychology	train	2.8	tweets	514060085832978432	"['<b>Paper Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: In this analysis, we found a dose-response association between the number of lifetime PTSD symptoms and prevalence of food addiction in middle adulthood. Food addiction prevalence appeared to be further elevated when PTSD symptoms occurred earlier in life. To our knowledge, this is the first study to look at the association between PTSD symptoms and food addiction."">Food addiction prevalence appeared to be further elevated when PTSD symptoms occurred earlier in life.</span>', '<b>News Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""News context: #PTSD Symptoms &amp; Food #Addiction in Women by Timing and Type of Trauma Exposure  #recoverywarriors #eatingdisorders"">#PTSD Symptoms &amp; Food #Addiction in Women by Timing and Type of Trauma Exposure  #recoverywarriors #eatingdisorders</span>']"
10.1016/j.neuroimage.2014.02.004	Computer_Science_304	"The results imply that the contents of the movie affected certain brain functions of the subjects in a similar manner,"" explains Kaisu Lankinen the findings of her doctoral research."	Differences in synchronous activity likely reflect timelocking of the brain areas to stimulus features, as well as to actual content and events in the movie .	"These similar kinds or synchronized signals were found in brain areas that are connected with the early-stage processing of visual stimuli, detection of movement and persons, motor coordination and cognitive functions. The results imply that the contents of the movie affected certain brain functions of the subjects in a similar manner,"" explains Kaisu Lankinen the findings of her doctoral research. With the help of MEG and new analysis methods, investigation of significantly faster brain processes is possible and it enables detection of brain activity in frequencies higher than before."	These findings demonstrate the capability of the proposed methodology to uncover cortical MEG signatures from single-trial signals that are consistent across spectators of a movie. Differences in synchronous activity likely reflect timelocking of the brain areas to stimulus features, as well as to actual content and events in the movie . Emotional video clips, compared with non-emotional ones, increase intersubject synchronization of voxel-wise fMRI time courses in many brain areas, for example in the dorsal attention network .	[4.0, 3.0, 1.0, 3.0, 4.0]	Computer_Science	train	3.0	news	http://www.sciencedaily.com/releases/2014/04/140407090615.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28Latest+Science+News+--+ScienceDaily%29	"['<b>Paper Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: These findings demonstrate the capability of the proposed methodology to uncover cortical MEG signatures from single-trial signals that are consistent across spectators of a movie. Differences in synchronous activity likely reflect timelocking of the brain areas to stimulus features, as well as to actual content and events in the movie . Emotional video clips, compared with non-emotional ones, increase intersubject synchronization of voxel-wise fMRI time courses in many brain areas, for example in the dorsal attention network ."">Differences in synchronous activity likely reflect timelocking of the brain areas to stimulus features, as well as to actual content and events in the movie .</span>', '<b>News Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""News context: These similar kinds or synchronized signals were found in brain areas that are connected with the early-stage processing of visual stimuli, detection of movement and persons, motor coordination and cognitive functions. The results imply that the contents of the movie affected certain brain functions of the subjects in a similar manner,"" explains Kaisu Lankinen the findings of her doctoral research. With the help of MEG and new analysis methods, investigation of significantly faster brain processes is possible and it enables detection of brain activity in frequencies higher than before."">The results imply that the contents of the movie affected certain brain functions of the subjects in a similar manner,"" explains Kaisu Lankinen the findings of her doctoral research.</span>']"
10.1073/pnas.1414495112	Psychology_592	"""Our findings help explain why humans make music."	The geographic and stylistic diversity of this sample make it ideal for testing candidate musical universals.	"Researchers said the latest findings suggest that music is powerful in helping bond societies together. ""Our findings help explain why humans make music. In countries like North Korea we can also see extreme examples of how music and mass dance can be used to unite and coordinate groups,"" he added."	22 and 26). The geographic and stylistic diversity of this sample make it ideal for testing candidate musical universals. In particular, the encyclopedic nature of this collection, with its intention of capturing the great diversity of musical forms worldwide, should tend to make this sample overrepresent the real level of global diversity, and thus make it a particularly stringent sample for testing cross-cultural statistical regularities.	[2.0, 3.0, 4.0, 3.0]	Psychology	train	3.0	news	http://www.counselheal.com/articles/14061/20150701/music-beats-connects-people-through-dancing.htm	"['<b>Paper Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: 22 and 26). The geographic and stylistic diversity of this sample make it ideal for testing candidate musical universals. In particular, the encyclopedic nature of this collection, with its intention of capturing the great diversity of musical forms worldwide, should tend to make this sample overrepresent the real level of global diversity, and thus make it a particularly stringent sample for testing cross-cultural statistical regularities."">The geographic and stylistic diversity of this sample make it ideal for testing candidate musical universals.</span>', '<b>News Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""News context: Researchers said the latest findings suggest that music is powerful in helping bond societies together. ""Our findings help explain why humans make music. In countries like North Korea we can also see extreme examples of how music and mass dance can be used to unite and coordinate groups,"" he added."">""Our findings help explain why humans make music.</span>']"
10.1073/pnas.1816076116	Psychology_tweet_225	"The mixed effects of online #diversity training
via @username

#diversitytraining "	On the other hand, our diversity training successfully generated some behavior change among groups whose average untreated attitudes were already strongly supportive of women before training.	"The mixed effects of online #diversity training
via @username

#diversitytraining "	Among groups whose average untreated attitudes-whereas still supportive of women-were relatively less supportive of women than other groups, our diversity training successfully produced attitude change but not behavior change. On the other hand, our diversity training successfully generated some behavior change among groups whose average untreated attitudes were already strongly supportive of women before training. This paper extends our knowledge about the pathways to attitude and behavior change in the context of bias reduction.	[4.0, 2.0, 3.0, 3.0]	Psychology	train	3.0	tweets	1112795255743700992	"['<b>Paper Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Among groups whose average untreated attitudes-whereas still supportive of women-were relatively less supportive of women than other groups, our diversity training successfully produced attitude change but not behavior change. On the other hand, our diversity training successfully generated some behavior change among groups whose average untreated attitudes were already strongly supportive of women before training. This paper extends our knowledge about the pathways to attitude and behavior change in the context of bias reduction."">On the other hand, our diversity training successfully generated some behavior change among groups whose average untreated attitudes were already strongly supportive of women before training.</span>', '<b>News Finding:</b> <span data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""News context: The mixed effects of online #diversity training\nvia @username\n\n#diversitytraining "">The mixed effects of online #diversity training\nvia @username\n\n#diversitytraining </span>']"
